item,quantity,kind,link,basis,mass_g,status,file
servo_head_pitch,1,actuator,neck,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_head_pitch.stl
servo_head_yaw,1,actuator,head_yoke,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_head_yaw.stl
servo_head_roll,1,actuator,head_yoke,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_head_roll.stl
servo_right_hip_yaw,1,actuator,trunk,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_right_hip_yaw.stl
servo_right_hip_roll,1,actuator,right_yaw2roll,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_right_hip_roll.stl
servo_right_hip_pitch,1,actuator,right_thigh,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_right_hip_pitch.stl
servo_right_knee,1,actuator,right_shin,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_right_knee.stl
servo_right_ankle,1,actuator,right_shin,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_right_ankle.stl
servo_jaw,1,actuator,head,XL330-class smart servo envelope; verify drawing before ordering,18.0,purchased envelope; supplier quote pending,models/purchased/servo_jaw.stl
battery_np_f550,1,battery,trunk,NP-F550 class 7.4 V 2600 mAh removable pack; dimensions 70.8 x 38.4 x 20.5 mm nominal,100,purchased envelope; supplier quote pending,models/purchased/battery_np_f550.stl
compute_board,1,electronics,trunk,Vertical carrier for a compute module (50 x 36 usable outline); PCB placeholder behind the chest grille,30,purchased envelope; supplier quote pending,models/purchased/compute_board.stl
camera_module_3,1,camera,head,"Raspberry Pi Camera Module 3 Standard class, 25 x 24 mm board",4,purchased envelope; supplier quote pending,models/purchased/camera_module_3.stl
"M2 x 6 screws, servo horn/idler to clevis plates",120,hardware,,Four per horn and four per idler pattern; confirm thread engagement in the printed plate,,Not procurement-ready,
"M2 case screws or keeper clips, servo body retention",30,hardware,,Depends on the confirmed XL330 case hole pattern,,Not procurement-ready,
"M3 x 8 plastic thread-forming screws (shell to chassis, skull to rail, eyes, tail cover)",12,hardware,,Pilot Ø2.6 in printed bosses; coupon test first,,Not procurement-ready,
16 x 22 x 4 mm bearing (optional hip yaw support),2,hardware,,Optional plain/rolling bearing under each hip yaw plate,,Design option,
"IMU board, microphone, speaker, wiring, TTL bus adapter, power board",1,hardware,,Not yet placed in CAD; chest board volume reserved,,Architecture decision required,
TPU sole pads,2,hardware,,Fill the hollow sole underside; durometer to be chosen,,Follow-up,
